name	team	rush_att	rush_yds	rush_tds	rec_att	rec_yds	rec_tds	fumbles	fpts	pos
Chris Matthews	SEA	0.0	0.0	0.0	12.9	181.5	1.1	0.1	24.6	WR
Jarrett Boykin	FA	0.0	0.0	0.0	13.8	179.2	1.1	0.0	24.2	WR
Andre Caldwell	DEN	0.1	0.7	0.0	14.6	194.3	0.8	0.2	24.2	WR
Jacoby Jones	SD	0.3	0.3	0.0	15.0	194.6	1.0	0.9	23.4	WR
Jaron Brown	ARI	0.0	0.0	0.0	12.6	178.0	1.0	0.2	23.3	WR
Bruce Ellington	SF	2.3	15.0	0.0	9.9	139.6	1.3	0.3	22.9	WR
Jeremy Ross	DET	0.1	0.3	0.0	13.4	180.1	1.0	1.1	22.0	WR
Chris Hogan	BUF	0.0	0.0	0.0	14.4	170.9	1.3	1.4	22.0	WR
Jamison Crowder	WAS	0.0	0.0	0.0	14.8	176.7	0.7	0.3	21.4	WR
Ricardo Lockette	SEA	0.3	2.1	0.0	11.3	155.3	0.9	0.1	21.1	WR
Rishard Matthews	MIA	0.2	0.3	0.0	11.6	148.4	0.9	0.1	20.2	WR
Sammie Coates	PIT	0.0	0.0	0.0	11.3	154.5	0.8	0.1	20.0	WR
Brandon Tate	CIN	0.5	3.6	0.0	14.0	172.4	0.6	1.0	19.2	WR
Preston Parker	NYG	0.0	0.0	0.0	11.6	153.0	0.7	0.2	19.1	WR
Jerome Simpson	SF	0.0	0.0	0.0	11.1	153.2	0.7	0.2	19.0	WR
Kenny Bell	TB	0.0	0.0	0.0	11.7	150.3	0.7	0.2	18.9	WR
Michael Campanaro	BAL	2.1	14.0	0.0	10.2	132.5	0.7	0.3	18.5	WR
Rashad Greene	JAC	0.0	0.0	0.0	11.5	148.8	0.5	0.2	17.6	WR
Dontrelle Inman	SD	0.0	0.0	0.0	9.7	130.6	0.6	0.0	16.6	WR
Travis Benjamin	CLE	1.7	10.1	0.0	7.9	123.3	0.4	0.0	15.7	WR
Seantavius Jones	NO	0.0	0.0	0.0	7.8	118.2	0.7	0.1	15.6	WR
Corey Washington	NYG	0.0	0.0	0.0	8.4	105.7	0.6	0.1	13.9	WR
Paul Richardson	SEA	0.0	0.0	0.0	8.0	108.8	0.5	0.0	13.8	WR
Devin Street	DAL	0.0	0.0	0.0	8.5	116.5	0.3	0.0	13.3	WR
