id,last,first,pos,pos1,team,patt,pcmp,pyds,p300,ptds,pint,ratt,ryds,r100,rtds,rec,cyds,c100,ctds,fum,FGM,FGA,EPM,EPA,TD,FF,FR,INT,Sack,Saf,yds,pts,iInt,iPD,iTck,iAst,iSack,iFF,iFR,iTD,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,GP,age,exp,kryd,krtd,pryd,prtd
CadeTr00,Cadet,Travaris,rb,,nor,0,0,0,0,0,0,19,80,0,1,17,133,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,25,3,554,0.140000000596046,123,0.150000005960464,
CaldAn00,Caldwell,Andre,wr,,den,0,0,0,0,0,0,0,0,0,0,15,203,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,29,7,437,0.109999999403954,40,0.0500000007450581,
CameJo00,Cameron,Jordan,te,,cle,0,0,0,0,0,0,0,0,0,0,76,852,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,26,4,,,,,
CampJa00,Campbell,Jason,qb,,cin,20,11,132,0,1,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,10,,,,,
CareKa01,Carey,KaDeem,rb,,chi,0,0,0,0,0,0,62,257,0,2,5,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,22,1,,,,,
CarlJo00,Carlson,John,te,,crd,0,0,0,0,0,0,0,0,0,0,24,246,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,30,7,,,,,
CarrDe02,Carr,Derek,qb,,rai,121,72,860,0,7,4,9,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,23,1,,,,,
CaseJa00,Casey,James,te,,phi,0,0,0,0,0,0,0,0,0,0,4,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,30,6,,,,,
CassMa00,Cassel,Matt,qb,,min,409,248,2819,1,18,13,33,125,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,32,10,,,,,
CeleBr00,Celek,Brent,te,,phi,0,0,0,0,0,0,0,0,0,0,16,217,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,29,8,,,,,
CeleGa00,Celek,Garrett,te,,sfo,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,26,3,,,,,
ChanSc00,Chandler,Scott,te,,buf,0,0,0,0,0,0,0,0,0,0,30,341,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,29,8,,,,,
CharJa00,Charles,Jamaal,rb,,kan,0,0,0,0,0,0,257,1187,4,9,70,627,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,28,7,,,,,
